id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,language,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,88,2020,euphoric|uplifting,english,0
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,64,2020,mellow|focused,instrumental,0
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive|driving,english,1
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,51,2020,mellow|nostalgic,instrumental,0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,81,2020,aggressive|euphoric,english,0
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,43,2010,dreamy|mellow,instrumental,0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,57,2000,mellow|nostalgic,english,0
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,69,1980,nostalgic|dreamy,instrumental,0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,60,2020,focused|mellow,instrumental,0
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2010,uplifting|euphoric,english,0
11,Concrete Prophet,Iron Verse,hip hop,confident,0.80,96,0.62,0.85,0.12,85,2010,confident|aggressive,english,1
12,Desert Mirage,Dune Choir,world,mystical,0.55,102,0.58,0.64,0.55,48,2000,dreamy|mystical,spanish,0
13,Velvet Heartbreak,Ruby Lane,soul,melancholy,0.48,84,0.30,0.57,0.62,66,1990,melancholy|nostalgic,english,0
14,Bassline Underground,Deep Cycle,techno,euphoric,0.88,128,0.70,0.90,0.04,77,2010,euphoric|driving,instrumental,0
15,Fields of Gold Dust,Willow Creek,country,nostalgic,0.52,100,0.68,0.60,0.68,55,1990,nostalgic|mellow,english,0
16,Tears in the Rain,Cello & Co,classical,somber,0.30,66,0.24,0.28,0.95,39,1980,melancholy|dreamy,instrumental,0
17,Island Sway,Palm Riddim,reggae,carefree,0.64,92,0.79,0.81,0.40,62,2000,uplifting|mellow,spanish,0
18,Neon Warfare,Grid Assault,drum and bass,aggressive,0.95,174,0.45,0.83,0.03,70,2020,aggressive|driving,instrumental,1
